GA,Lowest,Q1,Avg.,Q3,Highest
230, -1137.9834, 543.61993, 928.3948, 1304.7738, 1938.0706
231, -1113.3744, 582.53467, 926.0796, 1349.5427, 1769.4634
232, -678.69354, 252.08932, 814.0229, 1250.2823, 1702.6393
233, -322.76788, 436.52716, 895.86487, 1348.5878, 1707.143
234, -257.77707, 459.21588, 891.11633, 1308.5658, 1815.7415
235, -534.2, 581.432, 955.2532, 1399.3021, 1830.1006
236, -371.95505, 927.7025, 1063.3026, 1330.4305, 1699.1106
237, -814.541, 305.486, 835.6347, 1330.5311, 1821.2646
238, -300.36835, 401.97247, 909.2679, 1331.2299, 1686.4629
239, -903.8797, 653.98047, 971.2509, 1342.4456, 1772.1104
240, -942.1679, 444.15833, 944.97516, 1348.9186, 1904.6503
241, -504.47507, 194.49597, 780.82275, 1320.3046, 1801.0648
242, -251.78674, 426.3058, 855.51874, 1231.0624, 1733.2872
243, -146.06653, 404.41705, 906.50415, 1301.8057, 1876.5092
244, -488.46808, 377.71338, 874.5454, 1266.5026, 1813.8436
245, -469.15454, 231.39975, 891.67, 1301.5337, 1844.5267
246, -1206.5049, 211.51749, 751.9992, 1299.0834, 1861.1771
247, -547.19556, 447.79688, 873.90234, 1304.5814, 1866.0542
248, -493.39175, 325.81784, 822.9963, 1256.5822, 1791.0648
249, -487.98148, 263.18872, 831.3097, 1280.7861, 1752.3326
250, -603.48096, 270.19293, 860.58685, 1394.2456, 1794.525
251, -153.45313, 586.6307, 978.238, 1342.9263, 1675.6669
252, -268.2827, 393.2943, 851.3936, 1312.6278, 1808.484
253, -721.80927, 253.34018, 811.1594, 1302.4088, 1693.6157
254, -1179.4087, 402.60858, 874.4592, 1357.2672, 1939.7583
255, -616.72235, 334.1913, 779.6115, 1151.3164, 1794.4991
256, -984.9127, 266.09952, 680.0625, 1107.2175, 1802.208
257, -469.89267, 339.63638, 766.3868, 1126.6981, 1713.0057
258, -491.1831, 468.73322, 873.8622, 1230.0797, 1815.415
259, -1193.668, 498.7622, 857.1934, 1230.6527, 1802.2855
260, -607.6168, 484.91394, 832.5813, 1244.5834, 1634.4464
261, -769.2382, 222.4483, 699.0895, 1188.6952, 1573.6742
262, -436.78854, 358.22104, 787.5773, 1261.082, 1654.3507
263, -846.30804, 502.52423, 884.40924, 1223.6271, 1735.9583
264, -1136.0286, 485.84277, 828.6499, 1223.1252, 1635.5146
265, -541.5651, 300.87012, 761.8106, 1221.4514, 1654.4237
266, -683.827, 279.82397, 700.9225, 1116.0499, 1769.0583
267, -662.2959, 248.04672, 716.02313, 1164.4938, 1815.0752
268, -904.8286, 233.84015, 692.74396, 1169.9789, 1702.1392
269, -476.28708, 431.0688, 884.56714, 1220.7639, 1648.2588
270, -947.58234, 354.0599, 805.8819, 1204.3761, 1661.7668
271, -810.65674, 535.63184, 892.72034, 1251.3177, 1647.8561
272, -614.683, 384.73004, 825.40125, 1206.7312, 1965.4629
273, -508.82333, 432.57098, 900.4264, 1324.243, 1811.2736
274, -376.04004, 533.99396, 872.2566, 1307.8453, 1960.4341
275, -745.50836, 285.40942, 760.0966, 1204.9004, 1672.8096
276, -888.81537, 334.31064, 752.11304, 1155.8651, 1758.9948
277, -270.0882, 211.03583, 728.1185, 1154.3411, 1780.9873
278, -916.0816, 428.53882, 832.7807, 1253.9524, 1619.8085
279, -316.17255, 313.17056, 721.7592, 1132.8479, 1768.9858
280, -919.407, 527.436, 902.1364, 1345.183, 1882.5413
281, -1032.1873, 436.28442, 840.4311, 1221.1354, 1695.6859
282, -752.0779, 477.80634, 895.75116, 1271.782, 1695.5553
283, -420.85712, 438.91284, 827.2829, 1164.6698, 1771.0786
284, -743.1096, 274.7125, 793.28076, 1251.5215, 1828.7922
285, -548.3661, 340.82657, 807.42694, 1220.5054, 1722.1893
286, -306.19275, 332.56726, 757.0514, 1148.7968, 1911.4674
287, -309.28436, 372.50616, 810.00507, 1208.6882, 1566.2991
288, -563.52527, 340.98306, 852.7275, 1271.1637, 1553.1002
289, -835.91583, 462.5509, 821.32196, 1195.8132, 1767.3933
290, -588.8822, 445.4956, 841.159, 1223.9625, 1664.384
291, -527.1962, 330.59027, 787.0466, 1185.8226, 1609.6224
292, -559.0352, 253.30545, 773.2279, 1259.3666, 1831.7389
293, -1322.2942, 269.7347, 806.5192, 1288.5201, 1756.9052
294, -788.47125, 282.59998, 830.53, 1298.5875, 1971.343
295, -567.3319, 338.95508, 834.0698, 1296.3822, 1815.4092
296, -663.97595, 217.80365, 686.66266, 1149.2125, 1661.8666
297, -690.3726, 237.73416, 725.8801, 1130.9288, 1591.8131
298, -372.78534, 223.55103, 755.8191, 1240.0978, 1853.9027
299, -387.9811, 268.97665, 718.46674, 1128.0685, 1703.563
300, -517.83093, 298.78305, 761.86255, 1275.4087, 1788.3391
301, -596.3661, 375.16095, 811.51556, 1225.0028, 1877.6487
302, -744.11914, 266.4864, 765.386, 1281.6088, 1730.8057
303, -1102.5845, 342.3312, 827.21094, 1221.341, 1823.0537
304, -714.4667, 278.79575, 787.80365, 1323.7167, 1770.6783
305, -630.3478, 298.73282, 730.908, 1147.6232, 1710.7635
306, -261.99854, 373.7752, 835.07776, 1244.6602, 1671.607
307, -617.4404, 261.08633, 749.6873, 1306.4208, 1738.2012
308, -856.17456, 331.72934, 807.40283, 1251.8809, 1543.1346
309, -540.1022, 283.3273, 729.43475, 1204.8638, 1634.4645
310, -928.2041, 264.27158, 682.47144, 1138.114, 1698.4067
311, -676.8802, 358.21918, 759.344, 1239.4022, 1830.673
312, -562.48865, 521.2856, 841.04724, 1276.1073, 1794.4703
313, -1301.9562, 320.31195, 798.6065, 1226.6915, 1615.6438
314, -1157.8273, 239.77084, 669.6099, 1111.2911, 1798.875
315, -621.1073, 229.14828, 711.5801, 1185.7626, 1777.1869
316, -421.94824, 213.71365, 694.9216, 1113.9667, 1609.3385
317, -1162.587, 376.22424, 762.64734, 1178.4009, 1710.568
318, -748.4045, 235.15283, 725.25, 1127.9844, 1880.9146
319, -344.95273, 400.5287, 839.0568, 1252.4249, 1670.7909
320, -1307.1036, 251.47794, 739.598, 1209.3562, 1749.3773
321, -1377.4178, 443.221, 811.0006, 1205.8986, 1792.9629
322, -946.05927, 347.0563, 823.04834, 1278.176, 1802.6381
323, -705.5977, 435.8518, 833.93634, 1278.8826, 1718.6621
324, -480.33984, 354.0816, 813.33234, 1258.423, 1812.2584
325, -982.679, 286.92758, 778.6883, 1229.912, 1803.1578
